Gender,City,Country,Student Course,Month enr,Year enr,enrollments
Female,NAIROBI,Kenya,[CERTIFICATE AIR CARGO INTRODUCTORY(IATA)],Feb,2020,1
Female,,Kenya,[CERT IN FOOD AND BEVERAGE(KNEC)],Feb,2020,1
Male,KITALE,Kenya,[DIP. INFORMATION COMM. TECHNOLOGY(DICT)(KNEC)],Mar,2020,1
Female,MAKUENI,Kenya,"[Diploma in Food and Beverage Production, Sales and Service Mgt(KNEC)]",Mar,2020,1
Male,KIGALI,Rwanda,[DIP IN ELECTRICAL AND ELECTRONICS TECHNOLOGY(CITY&GUILDS)],Mar,2020,1
Female,MANSA,Kenya,[DIP. COMPUTER AIR TRAVEL OPERATION FL1(IATA)],Mar,2020,1
Female,NJIRU,Kenya,[DIP. COMPUTER AIR TRAVEL OPERATION FL1(IATA)],Mar,2020,1
Female,KIAMBU,Kenya,[DIP. AIR TRAVEL OPERATIONS/COMP. Tourism mgt(consultancy level 2) (IATA)],Mar,2020,1
Female,KALACHA,Kenya,[Artisan Salesmanship],Mar,2020,1
Male,NAKURU,Kenya,[DIPLOMA HOTEL AND CATERING MANAGEMENT(ICM)],Mar,2020,1
Male,KAKAMEGA,Kenya,[COMPUTER APPLICATION],Mar,2020,1
Female,NAIROBI,Kenya,[CERT IN FOOD AND BEVERAGE(KNEC)],Mar,2020,1
Female,NAIROBI,Kenya,[DIPLOMA IN CABIN CREW/ AIR HOSTESS(IATA)],Mar,2020,1
Male,,Kenya,[COMPUTER APPLICATION],Mar,2020,1
Male,,Kenya,"[COMPUTERIZED DIPLOMA IN CUSTOMS ,CLEARING & FORWARDING(ICM)]",Mar,2020,1
Female,,Kenya,[CERTIFICATE AIRPORT OPERATIONS(IATA)],Mar,2020,1
Female,,Kenya,[CERT IN FOOD AND BEVERAGE(KNEC)],Mar,2020,1
Male,NAIROBI,Kenya,[Artisan Salesmanship],Mar,2020,1
Female,,Kenya,[COMPUTER APPLICATION],Mar,2020,1
Male,NAIROBI,Comoros,[CERTIFICATE AIRPORT OPERATIONS(IATA)],Mar,2020,1
Male,NAIROBI,Kenya,"[Diploma in Food and Beverage Production, Sales and Service Mgt(KNEC)]",Mar,2020,1
Male,,Kenya,"[COMPUTERIZED DIPLOMA IN CUSTOMS ,CLEARING & FORWARDING(ICM)]",Mar,2020,1
Female,NAIROBI,Kenya,[DIPLOMA SUPPLY CHAIN MGT(KNEC)],Mar,2020,1
Female,,Kenya,[CERT IN FOOD AND BEVERAGE(KNEC)],Mar,2020,1
Female,NAIROBI,Kenya,[DIPLOMA HOTEL AND CATERING MANAGEMENT(ICM)],Mar,2020,1
Male,,Kenya,[CERT ELECTRICAL AND ELECTRONICS (KNEC)],Mar,2020,1
Female,,Kenya,[COMPUTERIZED DIP IN TRAVEL & TOURISM MGT (IATA)],Mar,2020,1
Female,,Kenya,[COMPUTER APPLICATION],Mar,2020,1
Female,NAIROBI,Kenya,[DIPLOMA IN JOURNALISM & MASS COMMUNICATION(ICM)],Mar,2020,1
Female,,Kenya,[CERT AIRLINE PASSENGER HANDLING(IATA)],Mar,2020,1
Female,KERICHO,Kenya,[DIPLOMA IN FRONT OFFICE OPERATION & ADMINISTRATION],Mar,2020,1
Female,NAIROBI,Kenya,[Artisan Food And Beverage production and Services],Mar,2020,1
Female,GACHIE,Kenya,[DIPLOMA IN CABIN CREW/ AIR HOSTESS(IATA)],Mar,2020,1
Female,NAIROBI,Kenya,[Artisan Food And Beverage production and Services],Mar,2020,1
Male,NAIROBI,Kenya,[DIPLOMA HOTEL AND CATERING MANAGEMENT(ICM)],Mar,2020,1
Male,ELDORET,Kenya,[DIPLOMA IT SYSTEMS SUPPORT (CITY & GUILDS)],Mar,2020,1
Female,NAIROBI,Kenya,[CERT IN FOOD AND BEVERAGE(KNEC)],Mar,2020,1
Male,NAIROBI,Kenya,[COMPUTER APPLICATION],Mar,2020,1
Female,KISUMU,Kenya,[COMPUTER APPLICATION],Mar,2020,1
Male,NAIROBI,Kenya,[COMPUTER APPLICATION],Mar,2020,1
Male,NAIROBI,Congo,[DIP. PUBLIC RELATIONS],Mar,2020,1
Female,NAIROBI,Kenya,[CERTIFICATE AIRPORT OPERATIONS(IATA)],Mar,2020,1
Male,NAIROBI,Kenya,[COMPUTERIZED DIP IN TRAVEL & TOURISM MGT (IATA)],Mar,2020,1
Female,NAIROBI,Kenya,[BAKING & PASTRY],Mar,2020,1
Female,NAIROBI,Kenya,[MATHS BRIDGING],Mar,2020,1
Female,NAIROBI,Kenya,[CERTIFICATE IN TOUR GUIDE AND ADMINISTRATION(ICM)],Mar,2020,1
Female,GARISSA,Kenya,[CERTIFICATE IN SOCIAL DEVELOPMENT(KNEC)],Mar,2020,1
Female,NAIROBI,Kenya,[CERTIFICATE AIRPORT OPERATIONS(IATA)],Mar,2020,1
Male,NAIROBI,Kenya,"[COMPUTERIZED DIPLOMA IN CUSTOMS ,CLEARING & FORWARDING(ICM)]",Mar,2020,1
Male,NAIROBI,Kenya,"[COMPUTERIZED DIPLOMA IN CUSTOMS ,CLEARING & FORWARDING(ICM)]",Mar,2020,1
Male,NAIROBI,Kenya,[CERTIFICATE IN TOUR GUIDE AND ADMINISTRATION(ICM)],Mar,2020,1
Female,NAIROBI,Kenya,[DIPLOMA IN CABIN CREW/ AIR HOSTESS(IATA)],Mar,2020,1
Female,NAIROBI,Kenya,[DIPLOMA IN JOURNALISM & MASS COMMUNICATION(ICM)],Mar,2020,1
Male,NAIROBI,Kenya,[Diploma in Aeronautical Engineering(KNEC)],Mar,2020,1
Female,NAIROBI,Kenya,[DIPLOMA HOTEL AND CATERING MANAGEMENT(ICM)],Mar,2020,1
